problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,tried_count
Fibsieve`s Fantabulous Birthday,1008,2.50,7.50,lightoj,http://lightoj.com/volume_showproblem.php?problem=1008,4239,4963
Ekka Dokka,1116,2.61,7.39,lightoj,http://lightoj.com/volume_showproblem.php?problem=1116,3796,4254
Positive Negative Sign,1294,2.71,7.29,lightoj,http://lightoj.com/volume_showproblem.php?problem=1294,3499,3794
Knights in Chessboard,1010,2.82,7.18,lightoj,http://lightoj.com/volume_showproblem.php?problem=1010,3473,4707
IP Checking,1354,2.92,7.08,lightoj,http://lightoj.com/volume_showproblem.php?problem=1354,3239,3326
Large Division,1214,3.03,6.97,lightoj,http://lightoj.com/volume_showproblem.php?problem=1214,2788,3053
Unlucky Bird,1311,3.13,6.87,lightoj,http://lightoj.com/volume_showproblem.php?problem=1311,1884,2014
A Childhood Game,1020,3.24,6.76,lightoj,http://lightoj.com/volume_showproblem.php?problem=1020,1709,1970
February 29,1414,3.34,6.66,lightoj,http://lightoj.com/volume_showproblem.php?problem=1414,1593,1904
Integer Divisibility,1078,3.45,6.55,lightoj,http://lightoj.com/volume_showproblem.php?problem=1078,1486,1629
Mad Counting,1148,3.55,6.45,lightoj,http://lightoj.com/volume_showproblem.php?problem=1148,946,1031
Largest Box,1297,3.66,6.34,lightoj,http://lightoj.com/volume_showproblem.php?problem=1297,779,792
Josephus Problem,1179,3.76,6.24,lightoj,http://lightoj.com/volume_showproblem.php?problem=1179,768,808
Internet Service Providers,1275,3.87,6.13,lightoj,http://lightoj.com/volume_showproblem.php?problem=1275,696,737
Answering Queries,1369,3.97,6.03,lightoj,http://lightoj.com/volume_showproblem.php?problem=1369,569,618
Aladdin and the Optimal Invitation,1349,4.08,5.92,lightoj,http://lightoj.com/volume_showproblem.php?problem=1349,286,326
Consistent Verdicts,1410,4.18,5.82,lightoj,http://lightoj.com/volume_showproblem.php?problem=1410,238,244
Billiard Balls,1323,4.29,5.71,lightoj,http://lightoj.com/volume_showproblem.php?problem=1323,127,132
A Question of Time,1430,4.39,5.61,lightoj,http://lightoj.com/volume_showproblem.php?problem=1430,50,51
